Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Issuance type,Flickr URL,Shelfmarks
206,,London,,S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,"FORBES, Walter.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
216,,London,1868,Virtue & Co.,"All for Greed. [A novel. The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
218,,London,1869,"Bradbury, Evans & Co.","Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A., i.e. Marie Pauline Rose, Baroness Blaze de Bury.]","A., A. A.","BLAZE DE BURY, Marie Pauline Rose - Baroness",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
472,,London,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century. By the author of “Proposals for Christian Union” (E. S. A. [i.e. Ernest Appleyard])","A., E. S.","Appleyard, Ernest Silvanus.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
480,"A new edition, revised, etc.",London,1857,Wertheim & Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
481,"Fourth edition, revised, etc.",London,1875,William Macintosh,"[The World in which I live, and my place in it. By E. S. A. [i.e. Letitia Willgoss Stone.] Edited by ... J. H. Broome.]","A., E. S.","BROOME, John Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
519,,London,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),"A., F. E.","ASHLEY, Florence Emily.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
874,,London,1676,,"A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]",Remaʿ.,"ADAMS, Mary.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
1143,,London,1679,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),"A., T.","OLDHAM, John.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
2854,,London,1865,E. Moxon & Co.,"See-Saw; a novel ... Edited [or rather, written] by W. W. Reade","ABATI, Francesco.","READE, William Winwood.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
4884,,London,1820,J. Hatchard & Son,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts. [In verse.] [By Thomas Foster Barham, the Elder.]",,"BARHAM, Thomas Foster - the Elder",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
5382,,London,,Punch Office,"The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
5385,Another edition. Illustrated by John Leech.,London,,"Bradbury, Agnew & Co.","[The comic history of England ... With twenty coloured etchings, and two hundred woodcuts. By John Leech.]","A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
5389,Another edition.,London,,"Bradbury, Agnew & Co.",[The Comic History of Rome ... Illustrated by John Leech.],"A'BECKETT, Gilbert Abbott.","LEECH, John - Artist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
6036,,London,1805,C. & R. Baldwin,"The Venetian Outlaw, a drama in three acts ... Translated [from the French translation of J. H. D. Zschokke's “Abällino, oder der grosse Bandit”] and adapted to the English stage by R. W. Elliston",,"ELLISTON, Robert William.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
8435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines. A true and unvarnished account of their origin and progress ... Translated ... by H. C. Simonsen,"ABRAHAM, Félix - Writer on Mining","SIMONSEN, H. C.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
8440,,London,1894,Effingham Wilson,The New Era of the Goldmining Industry in the Witwatersrand ... Translated from the German by H. C. Simonsen. With an authentic map of the fields,"ABRAHAM, Félix - Writer on Mining","SIMONSEN, H. C.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008440,British Library HMNTS 07108.g.6.
13074,,London,1899,W. Thacker & Co.,"A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ... With an appendix on Central Asian trade by Capt. S. H. Godfrey ... Illustrated from drawings by the author, photographs, and a map of the route","ADAIR, Frederick Edward Shafto.","GODFREY, Stuart Hill.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013074,British Library HMNTS 10077.d.27.|British Library OC V 3030
13364,,London,,"Griffith, Farran & Co.","A Hand-book and History of Sidmouth from the Triassic period up to “Now.” By אדם [Adam, i.e. P. O. Hutchinson]. Illustrated ... With map",,"HUTCHINSON, Peter Orlando.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013364,British Library HMNTS 10358.g.35.(4.)|British Library HMNTS 10352.d.32.
14466,,London,,Adams & King,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St. Luke and of the Chartreuse",,"KING - Printer, of Goswell Street",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014466,British Library HMNTS 10352.i.24.
15141,,London,1893,T. Fisher Unwin,The New Egypt. A social sketch. [Edited by J. W. Longsdon.],"ADAMS, Francis William Lauderdale.","LONGSDON, J. W.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015141,British Library HMNTS 010096.e.61.
15146,,London,1894,T. Fisher Unwin,Tiberius: a drama ... With introduction by W. M. Rossetti,"ADAMS, Francis William Lauderdale.","ROSSETTI, William Michael.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015146,British Library HMNTS 11781.gg.4.
16543,,London,1816,John Murray,"The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 ... With a map, etc. [Edited by S. Cock.]","Adams, Robert - Sailor","COCK, Simon.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016543,British Library HMNTS 983.e.7.|British Library HMNTS 147.e.3.|British Library HMNTS G.2842.
17602,,London,1897,J. Bowden,East End Idylls ... With an introduction by the Hon. and Rev. J. G. Adderley,"Adcock, Arthur St. John","ADDERLEY, James Granville - Hon",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017602,British Library HMNTS 012625.i.5.
18173,Another edition. With a complete index. With a portrait engraved by Hopewood.,London,1804,Vernor & Hood,"[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]: Works","ADDISON, Joseph - Right Hon","TICKELL, Thomas.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018173,British Library HMNTS 12269.d.7.
20960,,London,1853,Addey & Co.,"The Diary and Houres of the Ladye Adolie, a faythfulle childe. 1552. [Edited, or rather written, by Lady C. M. Pepys.]",,"PEPYS, Charlotte Maria - Lady",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020960,British Library HMNTS 12620.d.7.
21119,,London,1874,Chapman & Hall,"Lays of Modern Oxford, by Adon. Illustrated by M. E. Edwards, F. Lockwood, and the author",,"EDWARDS, Mary Ellen.|LOCKWOOD, Frank - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021119,British Library HMNTS 11650.g.9.
